parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_state[SC, 2020-06-07 00:00:00]",3.698,0.7,2.385,5.031,0.01,0.008,4505.0,5069.0,1.0
"z_state[SC, 2020-06-14 00:00:00]",3.747,0.696,2.455,5.056,0.01,0.008,4399.0,4463.0,1.0
"z_state[SC, 2020-06-21 00:00:00]",3.771,0.694,2.508,5.08,0.011,0.008,4364.0,4301.0,1.0
"z_state[SC, 2020-06-28 00:00:00]",3.699,0.698,2.443,5.053,0.011,0.008,4405.0,4711.0,1.0
"z_state[SC, 2020-07-05 00:00:00]",3.604,0.707,2.31,4.943,0.011,0.008,4530.0,4574.0,1.0
"z_state[SC, 2020-07-12 00:00:00]",3.474,0.713,2.147,4.815,0.011,0.008,4562.0,4990.0,1.0
"z_state[SC, 2020-07-19 00:00:00]",3.31,0.719,1.961,4.678,0.011,0.008,4552.0,4764.0,1.0
"z_state[SC, 2020-07-26 00:00:00]",3.206,0.723,1.75,4.469,0.011,0.008,4572.0,4871.0,1.0
"z_state[SC, 2020-08-02 00:00:00]",3.099,0.723,1.703,4.394,0.011,0.009,4683.0,4656.0,1.0
"z_state[SC, 2020-08-09 00:00:00]",2.988,0.728,1.632,4.351,0.011,0.008,4643.0,4585.0,1.0
"z_state[SC, 2020-08-16 00:00:00]",2.864,0.732,1.575,4.296,0.011,0.009,4537.0,4429.0,1.0
"z_state[SC, 2020-08-23 00:00:00]",2.773,0.742,1.417,4.175,0.011,0.009,4587.0,4749.0,1.0
"z_state[SC, 2020-08-30 00:00:00]",2.696,0.737,1.257,3.992,0.011,0.009,4581.0,4761.0,1.0
"z_state[SC, 2020-09-06 00:00:00]",2.662,0.741,1.202,3.953,0.011,0.008,4628.0,4922.0,1.0
"z_state[SC, 2020-09-13 00:00:00]",2.672,0.739,1.251,4.034,0.011,0.008,4616.0,4606.0,1.0
"z_state[SC, 2020-09-20 00:00:00]",2.693,0.733,1.366,4.118,0.011,0.008,4601.0,4790.0,1.0
"z_state[SC, 2020-09-27 00:00:00]",2.755,0.726,1.369,4.09,0.011,0.008,4409.0,4585.0,1.0
"z_state[SC, 2020-10-04 00:00:00]",2.722,0.726,1.295,4.019,0.011,0.008,4397.0,4545.0,1.0
"z_state[SC, 2020-10-11 00:00:00]",2.75,0.724,1.363,4.069,0.011,0.009,4312.0,4568.0,1.0
"z_state[SC, 2020-10-18 00:00:00]",2.788,0.72,1.443,4.151,0.011,0.008,4344.0,4702.0,1.0
"z_state[SC, 2020-10-25 00:00:00]",2.787,0.713,1.475,4.17,0.011,0.008,4340.0,4900.0,1.0
"z_state[SC, 2020-11-01 00:00:00]",2.78,0.716,1.361,4.063,0.011,0.008,4296.0,4945.0,1.0
"z_state[SC, 2020-11-08 00:00:00]",2.769,0.715,1.419,4.1,0.011,0.008,4320.0,5151.0,1.0
"z_state[SC, 2020-11-15 00:00:00]",2.738,0.72,1.331,4.025,0.011,0.008,4252.0,4583.0,1.0
"z_state[SC, 2020-11-22 00:00:00]",2.702,0.728,1.316,4.063,0.011,0.008,4391.0,5046.0,1.0
"z_state[SC, 2020-11-29 00:00:00]",2.676,0.734,1.268,4.011,0.011,0.008,4390.0,4700.0,1.0
"z_state[SC, 2020-12-06 00:00:00]",2.66,0.737,1.316,4.079,0.011,0.008,4472.0,4893.0,1.0
"z_state[SC, 2020-12-13 00:00:00]",2.622,0.75,1.157,3.99,0.011,0.008,4566.0,4893.0,1.0
"z_state[SC, 2020-12-20 00:00:00]",2.574,0.766,1.144,4.008,0.011,0.009,4800.0,5030.0,1.0
"z_state[SC, 2020-12-27 00:00:00]",2.528,0.795,1.093,4.085,0.011,0.009,5118.0,5170.0,1.0
"z_state[SE, 2015-01-04 00:00:00]",0.032,0.248,-0.46,0.468,0.004,0.003,4481.0,4521.0,1.0
"z_state[SE, 2015-01-11 00:00:00]",0.059,0.332,-0.585,0.664,0.005,0.004,3865.0,4096.0,1.0
"z_state[SE, 2015-01-18 00:00:00]",0.08,0.381,-0.643,0.797,0.007,0.004,3421.0,4258.0,1.0
"z_state[SE, 2015-01-25 00:00:00]",0.071,0.412,-0.696,0.866,0.007,0.005,3230.0,4345.0,1.0
"z_state[SE, 2015-02-01 00:00:00]",0.126,0.435,-0.731,0.909,0.008,0.005,2843.0,3749.0,1.0
"z_state[SE, 2015-02-08 00:00:00]",0.228,0.447,-0.676,1.006,0.009,0.005,2753.0,4563.0,1.0
"z_state[SE, 2015-02-15 00:00:00]",0.364,0.456,-0.443,1.264,0.009,0.005,2618.0,3677.0,1.0
"z_state[SE, 2015-02-22 00:00:00]",0.46,0.463,-0.415,1.317,0.009,0.006,2589.0,3429.0,1.0
"z_state[SE, 2015-03-01 00:00:00]",0.511,0.464,-0.352,1.382,0.009,0.006,2542.0,3822.0,1.0
"z_state[SE, 2015-03-08 00:00:00]",0.495,0.48,-0.424,1.387,0.009,0.006,2625.0,3606.0,1.0
"z_state[SE, 2015-03-15 00:00:00]",0.54,0.486,-0.394,1.436,0.009,0.005,2640.0,3757.0,1.0
"z_state[SE, 2015-03-22 00:00:00]",0.602,0.487,-0.304,1.519,0.009,0.005,2782.0,3761.0,1.0
"z_state[SE, 2015-03-29 00:00:00]",0.722,0.482,-0.168,1.618,0.009,0.005,2751.0,3856.0,1.0
"z_state[SE, 2015-04-05 00:00:00]",0.837,0.471,-0.051,1.71,0.009,0.005,2638.0,3780.0,1.0
"z_state[SE, 2015-04-12 00:00:00]",0.845,0.463,-0.017,1.728,0.009,0.005,2610.0,3746.0,1.0
"z_state[SE, 2015-04-19 00:00:00]",0.569,0.477,-0.34,1.44,0.009,0.005,2694.0,3858.0,1.0
"z_state[SE, 2015-04-26 00:00:00]",0.255,0.494,-0.656,1.174,0.009,0.006,2834.0,3876.0,1.0
"z_state[SE, 2015-05-03 00:00:00]",-0.052,0.504,-0.954,0.928,0.009,0.006,2884.0,3644.0,1.0
"z_state[SE, 2015-05-10 00:00:00]",-0.276,0.501,-1.264,0.613,0.009,0.006,2904.0,3904.0,1.0
"z_state[SE, 2015-05-17 00:00:00]",-0.471,0.514,-1.399,0.514,0.01,0.006,2897.0,3654.0,1.0
"z_state[SE, 2015-05-24 00:00:00]",-0.746,0.53,-1.717,0.247,0.01,0.006,3036.0,4182.0,1.0
"z_state[SE, 2015-05-31 00:00:00]",-0.994,0.541,-2.011,-0.02,0.01,0.006,3085.0,3801.0,1.0
"z_state[SE, 2015-06-07 00:00:00]",-1.166,0.548,-2.165,-0.112,0.01,0.006,3223.0,4254.0,1.0
"z_state[SE, 2015-06-14 00:00:00]",-1.287,0.558,-2.415,-0.319,0.01,0.006,3307.0,4147.0,1.0
"z_state[SE, 2015-06-21 00:00:00]",-1.35,0.566,-2.431,-0.298,0.01,0.006,3346.0,4290.0,1.0
"z_state[SE, 2015-06-28 00:00:00]",-1.363,0.567,-2.454,-0.312,0.01,0.006,3422.0,4100.0,1.0
"z_state[SE, 2015-07-05 00:00:00]",-1.33,0.568,-2.412,-0.262,0.01,0.006,3316.0,3947.0,1.0
"z_state[SE, 2015-07-12 00:00:00]",-1.255,0.568,-2.312,-0.18,0.01,0.006,3382.0,4549.0,1.0
"z_state[SE, 2015-07-19 00:00:00]",-1.14,0.568,-2.207,-0.051,0.01,0.007,3347.0,4377.0,1.0
"z_state[SE, 2015-07-26 00:00:00]",-1.011,0.559,-2.046,0.06,0.01,0.006,3295.0,3793.0,1.0
"z_state[SE, 2015-08-02 00:00:00]",-0.831,0.557,-1.884,0.216,0.01,0.006,3325.0,3978.0,1.0
"z_state[SE, 2015-08-09 00:00:00]",-0.602,0.548,-1.614,0.466,0.01,0.006,3196.0,4269.0,1.0
"z_state[SE, 2015-08-16 00:00:00]",-0.348,0.532,-1.315,0.707,0.009,0.006,3167.0,4270.0,1.0
"z_state[SE, 2015-08-23 00:00:00]",-0.052,0.529,-1.066,0.908,0.009,0.006,3128.0,4113.0,1.0
"z_state[SE, 2015-08-30 00:00:00]",0.282,0.516,-0.735,1.219,0.01,0.006,2867.0,3931.0,1.0
"z_state[SE, 2015-09-06 00:00:00]",0.666,0.502,-0.248,1.646,0.01,0.006,2753.0,3832.0,1.0
"z_state[SE, 2015-09-13 00:00:00]",0.979,0.499,0.04,1.927,0.01,0.005,2656.0,4173.0,1.0
"z_state[SE, 2015-09-20 00:00:00]",1.33,0.489,0.397,2.24,0.009,0.006,2775.0,3689.0,1.0
"z_state[SE, 2015-09-27 00:00:00]",1.698,0.479,0.849,2.617,0.009,0.006,2619.0,3625.0,1.0
"z_state[SE, 2015-10-04 00:00:00]",1.992,0.471,1.091,2.879,0.009,0.006,2571.0,3848.0,1.0
"z_state[SE, 2015-10-11 00:00:00]",2.208,0.474,1.357,3.155,0.009,0.006,2651.0,3458.0,1.0
"z_state[SE, 2015-10-18 00:00:00]",2.437,0.471,1.613,3.366,0.009,0.006,2606.0,3679.0,1.0
"z_state[SE, 2015-10-25 00:00:00]",2.669,0.471,1.785,3.541,0.009,0.006,2581.0,3447.0,1.0
"z_state[SE, 2015-11-01 00:00:00]",2.941,0.459,2.105,3.831,0.009,0.006,2513.0,3383.0,1.0
"z_state[SE, 2015-11-08 00:00:00]",3.102,0.458,2.261,4.002,0.009,0.005,2447.0,3701.0,1.0
"z_state[SE, 2015-11-15 00:00:00]",3.197,0.46,2.339,4.05,0.009,0.006,2396.0,3434.0,1.0
"z_state[SE, 2015-11-22 00:00:00]",3.267,0.463,2.408,4.138,0.009,0.006,2533.0,3773.0,1.0
"z_state[SE, 2015-11-29 00:00:00]",3.315,0.462,2.455,4.195,0.009,0.005,2616.0,3670.0,1.0
"z_state[SE, 2015-12-06 00:00:00]",3.292,0.467,2.419,4.18,0.009,0.006,2541.0,3750.0,1.0
"z_state[SE, 2015-12-13 00:00:00]",3.284,0.47,2.38,4.154,0.009,0.006,2553.0,3907.0,1.0
"z_state[SE, 2015-12-20 00:00:00]",3.219,0.486,2.322,4.177,0.009,0.006,2754.0,3894.0,1.0
"z_state[SE, 2015-12-27 00:00:00]",3.252,0.485,2.326,4.179,0.009,0.006,2725.0,3352.0,1.0
"z_state[SE, 2016-01-03 00:00:00]",3.376,0.489,2.448,4.287,0.009,0.006,2903.0,3805.0,1.0
"z_state[SE, 2016-01-10 00:00:00]",3.616,0.485,2.659,4.477,0.009,0.006,2783.0,3920.0,1.0
"z_state[SE, 2016-01-17 00:00:00]",4.008,0.478,3.14,4.912,0.009,0.005,2778.0,4057.0,1.0
"z_state[SE, 2016-01-24 00:00:00]",4.44,0.463,3.545,5.274,0.009,0.005,2668.0,3731.0,1.0
"z_state[SE, 2016-01-31 00:00:00]",4.841,0.453,3.948,5.655,0.009,0.005,2394.0,3773.0,1.0
"z_state[SE, 2016-02-07 00:00:00]",5.126,0.458,4.282,5.996,0.009,0.005,2352.0,3175.0,1.0
"z_state[SE, 2016-02-14 00:00:00]",5.341,0.455,4.427,6.144,0.009,0.005,2393.0,3740.0,1.0
"z_state[SE, 2016-02-21 00:00:00]",5.469,0.457,4.589,6.323,0.009,0.005,2427.0,3706.0,1.0
"z_state[SE, 2016-02-28 00:00:00]",5.505,0.458,4.67,6.402,0.009,0.005,2467.0,3687.0,1.0
"z_state[SE, 2016-03-06 00:00:00]",5.418,0.466,4.505,6.273,0.009,0.005,2544.0,3889.0,1.0
"z_state[SE, 2016-03-13 00:00:00]",5.349,0.473,4.495,6.28,0.009,0.005,2587.0,3952.0,1.0
"z_state[SE, 2016-03-20 00:00:00]",5.318,0.47,4.45,6.205,0.009,0.006,2636.0,3460.0,1.0
"z_state[SE, 2016-03-27 00:00:00]",5.311,0.464,4.442,6.193,0.009,0.005,2485.0,3467.0,1.0
"z_state[SE, 2016-04-03 00:00:00]",5.251,0.461,4.444,6.169,0.009,0.005,2527.0,3875.0,1.0
"z_state[SE, 2016-04-10 00:00:00]",5.15,0.468,4.305,6.068,0.009,0.005,2494.0,3715.0,1.0
"z_state[SE, 2016-04-17 00:00:00]",5.126,0.464,4.257,5.991,0.009,0.005,2482.0,3498.0,1.0
"z_state[SE, 2016-04-24 00:00:00]",4.964,0.467,4.076,5.81,0.009,0.005,2501.0,4149.0,1.0
"z_state[SE, 2016-05-01 00:00:00]",4.742,0.47,3.813,5.573,0.009,0.005,2530.0,3602.0,1.0
"z_state[SE, 2016-05-08 00:00:00]",4.543,0.477,3.635,5.412,0.01,0.006,2484.0,3497.0,1.0
"z_state[SE, 2016-05-15 00:00:00]",4.407,0.478,3.527,5.332,0.009,0.005,2699.0,3784.0,1.0
"z_state[SE, 2016-05-22 00:00:00]",4.321,0.474,3.409,5.174,0.009,0.005,2684.0,3604.0,1.0
"z_state[SE, 2016-05-29 00:00:00]",4.246,0.472,3.371,5.136,0.009,0.005,2609.0,4031.0,1.0
"z_state[SE, 2016-06-05 00:00:00]",4.215,0.465,3.313,5.053,0.009,0.005,2470.0,3830.0,1.0
"z_state[SE, 2016-06-12 00:00:00]",4.055,0.473,3.136,4.911,0.009,0.005,2502.0,3983.0,1.0
"z_state[SE, 2016-06-19 00:00:00]",3.898,0.478,2.968,4.793,0.01,0.006,2469.0,3608.0,1.0
"z_state[SE, 2016-06-26 00:00:00]",3.829,0.47,2.941,4.708,0.009,0.006,2587.0,3746.0,1.0
"z_state[SE, 2016-07-03 00:00:00]",3.723,0.473,2.825,4.6,0.009,0.006,2489.0,3620.0,1.0
"z_state[SE, 2016-07-10 00:00:00]",3.542,0.48,2.647,4.441,0.009,0.006,2637.0,3836.0,1.0
"z_state[SE, 2016-07-17 00:00:00]",3.483,0.482,2.586,4.404,0.01,0.005,2564.0,4039.0,1.0
"z_state[SE, 2016-07-24 00:00:00]",3.48,0.472,2.604,4.373,0.009,0.005,2477.0,3673.0,1.0
"z_state[SE, 2016-07-31 00:00:00]",3.447,0.468,2.525,4.296,0.009,0.005,2496.0,3535.0,1.0
"z_state[SE, 2016-08-07 00:00:00]",3.391,0.47,2.511,4.282,0.009,0.005,2579.0,3741.0,1.0
"z_state[SE, 2016-08-14 00:00:00]",3.377,0.462,2.535,4.276,0.009,0.005,2529.0,3969.0,1.0
"z_state[SE, 2016-08-21 00:00:00]",3.246,0.47,2.361,4.119,0.009,0.005,2645.0,3884.0,1.0
"z_state[SE, 2016-08-28 00:00:00]",3.177,0.471,2.265,4.031,0.009,0.005,2682.0,3986.0,1.0
"z_state[SE, 2016-09-04 00:00:00]",3.174,0.471,2.265,4.019,0.009,0.005,2623.0,3956.0,1.0
"z_state[SE, 2016-09-11 00:00:00]",3.169,0.475,2.296,4.054,0.009,0.005,2586.0,3851.0,1.0
"z_state[SE, 2016-09-18 00:00:00]",3.12,0.472,2.215,3.98,0.009,0.005,2562.0,3776.0,1.0
"z_state[SE, 2016-09-25 00:00:00]",3.056,0.475,2.218,4.012,0.009,0.005,2555.0,3483.0,1.0
"z_state[SE, 2016-10-02 00:00:00]",3.013,0.479,2.096,3.884,0.009,0.005,2658.0,3900.0,1.0
"z_state[SE, 2016-10-09 00:00:00]",2.984,0.478,2.081,3.875,0.009,0.005,2693.0,4079.0,1.0
"z_state[SE, 2016-10-16 00:00:00]",3.008,0.47,2.1,3.865,0.009,0.005,2630.0,3352.0,1.0
"z_state[SE, 2016-10-23 00:00:00]",3.013,0.465,2.171,3.903,0.009,0.005,2536.0,3465.0,1.0
"z_state[SE, 2016-10-30 00:00:00]",3.0,0.469,2.094,3.86,0.009,0.005,2565.0,3380.0,1.0
"z_state[SE, 2016-11-06 00:00:00]",2.92,0.471,2.03,3.807,0.009,0.006,2634.0,3878.0,1.0
"z_state[SE, 2016-11-13 00:00:00]",2.83,0.473,1.929,3.699,0.01,0.005,2462.0,3725.0,1.0
"z_state[SE, 2016-11-20 00:00:00]",2.743,0.472,1.859,3.629,0.009,0.005,2619.0,3711.0,1.0
"z_state[SE, 2016-11-27 00:00:00]",2.618,0.482,1.76,3.556,0.009,0.006,2672.0,4155.0,1.0
"z_state[SE, 2016-12-04 00:00:00]",2.518,0.486,1.646,3.467,0.01,0.006,2538.0,4026.0,1.0
"z_state[SE, 2016-12-11 00:00:00]",2.482,0.479,1.57,3.37,0.009,0.006,2603.0,3964.0,1.0
"z_state[SE, 2016-12-18 00:00:00]",2.442,0.472,1.556,3.326,0.009,0.005,2634.0,3983.0,1.0
"z_state[SE, 2016-12-25 00:00:00]",2.419,0.467,1.555,3.297,0.009,0.005,2616.0,3984.0,1.0
"z_state[SE, 2017-01-01 00:00:00]",2.191,0.481,1.283,3.094,0.009,0.005,2704.0,4234.0,1.0
"z_state[SE, 2017-01-08 00:00:00]",2.049,0.473,1.158,2.929,0.009,0.005,2578.0,3697.0,1.0
"z_state[SE, 2017-01-15 00:00:00]",1.905,0.467,1.027,2.763,0.009,0.005,2466.0,3506.0,1.0
"z_state[SE, 2017-01-22 00:00:00]",1.763,0.473,0.917,2.676,0.009,0.005,2560.0,3772.0,1.0
"z_state[SE, 2017-01-29 00:00:00]",1.584,0.474,0.711,2.492,0.01,0.005,2479.0,3775.0,1.0
"z_state[SE, 2017-02-05 00:00:00]",1.377,0.479,0.546,2.339,0.01,0.005,2545.0,3889.0,1.0
"z_state[SE, 2017-02-12 00:00:00]",1.217,0.479,0.287,2.085,0.01,0.006,2455.0,3617.0,1.0
"z_state[SE, 2017-02-19 00:00:00]",0.988,0.488,0.034,1.867,0.01,0.005,2632.0,3758.0,1.0
"z_state[SE, 2017-02-26 00:00:00]",0.812,0.491,-0.093,1.748,0.009,0.006,2690.0,3273.0,1.0
"z_state[SE, 2017-03-05 00:00:00]",0.752,0.5,-0.167,1.678,0.01,0.006,2692.0,3699.0,1.0
"z_state[SE, 2017-03-12 00:00:00]",0.754,0.493,-0.166,1.654,0.01,0.006,2647.0,3690.0,1.0
"z_state[SE, 2017-03-19 00:00:00]",0.812,0.486,-0.061,1.75,0.01,0.006,2606.0,3447.0,1.0
"z_state[SE, 2017-03-26 00:00:00]",0.785,0.486,-0.154,1.661,0.01,0.006,2488.0,3230.0,1.0
"z_state[SE, 2017-04-02 00:00:00]",0.755,0.489,-0.2,1.626,0.01,0.006,2586.0,3497.0,1.0
"z_state[SE, 2017-04-09 00:00:00]",0.774,0.486,-0.164,1.648,0.01,0.006,2617.0,3516.0,1.0
"z_state[SE, 2017-04-16 00:00:00]",0.793,0.482,-0.114,1.682,0.01,0.006,2508.0,3270.0,1.0
"z_state[SE, 2017-04-23 00:00:00]",0.751,0.488,-0.201,1.623,0.01,0.006,2611.0,3300.0,1.0
"z_state[SE, 2017-04-30 00:00:00]",0.759,0.482,-0.133,1.666,0.01,0.005,2441.0,3885.0,1.0
"z_state[SE, 2017-05-07 00:00:00]",0.718,0.474,-0.118,1.656,0.009,0.005,2561.0,3650.0,1.0
"z_state[SE, 2017-05-14 00:00:00]",0.584,0.493,-0.369,1.469,0.009,0.006,2757.0,3887.0,1.0
"z_state[SE, 2017-05-21 00:00:00]",0.55,0.486,-0.322,1.508,0.009,0.006,2704.0,4286.0,1.0
"z_state[SE, 2017-05-28 00:00:00]",0.555,0.487,-0.321,1.532,0.009,0.006,2732.0,3714.0,1.0
"z_state[SE, 2017-06-04 00:00:00]",0.581,0.489,-0.412,1.459,0.009,0.006,2696.0,4023.0,1.0
"z_state[SE, 2017-06-11 00:00:00]",0.616,0.491,-0.329,1.505,0.009,0.005,2672.0,3353.0,1.0
"z_state[SE, 2017-06-18 00:00:00]",0.74,0.485,-0.143,1.677,0.009,0.006,2681.0,3597.0,1.0
"z_state[SE, 2017-06-25 00:00:00]",0.795,0.482,-0.121,1.699,0.009,0.006,2617.0,3594.0,1.0
"z_state[SE, 2017-07-02 00:00:00]",0.69,0.49,-0.206,1.628,0.009,0.005,2758.0,3686.0,1.0
"z_state[SE, 2017-07-09 00:00:00]",0.642,0.489,-0.229,1.583,0.009,0.005,2698.0,4010.0,1.0
"z_state[SE, 2017-07-16 00:00:00]",0.6,0.493,-0.267,1.581,0.009,0.005,2699.0,3768.0,1.0
"z_state[SE, 2017-07-23 00:00:00]",0.53,0.495,-0.389,1.471,0.009,0.006,2793.0,3771.0,1.0
"z_state[SE, 2017-07-30 00:00:00]",0.428,0.503,-0.533,1.354,0.009,0.006,2922.0,4141.0,1.0
"z_state[SE, 2017-08-06 00:00:00]",0.406,0.505,-0.539,1.361,0.009,0.006,2860.0,4325.0,1.0
"z_state[SE, 2017-08-13 00:00:00]",0.378,0.509,-0.576,1.308,0.009,0.005,2998.0,4116.0,1.0
"z_state[SE, 2017-08-20 00:00:00]",0.361,0.51,-0.552,1.391,0.01,0.006,2877.0,3774.0,1.0
"z_state[SE, 2017-08-27 00:00:00]",0.379,0.513,-0.512,1.412,0.009,0.006,3010.0,3972.0,1.0
"z_state[SE, 2017-09-03 00:00:00]",0.39,0.51,-0.609,1.318,0.01,0.005,2846.0,4039.0,1.0
"z_state[SE, 2017-09-10 00:00:00]",0.405,0.515,-0.54,1.385,0.01,0.006,2800.0,4157.0,1.0
"z_state[SE, 2017-09-17 00:00:00]",0.461,0.509,-0.444,1.48,0.01,0.006,2866.0,4292.0,1.0
"z_state[SE, 2017-09-24 00:00:00]",0.438,0.512,-0.484,1.438,0.01,0.006,2886.0,4190.0,1.0
"z_state[SE, 2017-10-01 00:00:00]",0.457,0.506,-0.486,1.395,0.009,0.006,2840.0,3999.0,1.0
"z_state[SE, 2017-10-08 00:00:00]",0.424,0.509,-0.553,1.37,0.01,0.005,2707.0,4127.0,1.0
"z_state[SE, 2017-10-15 00:00:00]",0.314,0.521,-0.642,1.315,0.01,0.006,2791.0,3875.0,1.0
"z_state[SE, 2017-10-22 00:00:00]",0.174,0.526,-0.788,1.182,0.01,0.006,2737.0,4004.0,1.0
"z_state[SE, 2017-10-29 00:00:00]",0.092,0.523,-0.872,1.081,0.01,0.006,2805.0,4167.0,1.0
"z_state[SE, 2017-11-05 00:00:00]",-0.136,0.537,-1.224,0.811,0.01,0.006,2898.0,4178.0,1.0
"z_state[SE, 2017-11-12 00:00:00]",-0.31,0.545,-1.347,0.702,0.01,0.006,3038.0,4395.0,1.0
"z_state[SE, 2017-11-19 00:00:00]",-0.447,0.549,-1.459,0.613,0.01,0.006,3040.0,4053.0,1.0
"z_state[SE, 2017-11-26 00:00:00]",-0.522,0.542,-1.543,0.491,0.01,0.006,2924.0,4489.0,1.0
"z_state[SE, 2017-12-03 00:00:00]",-0.545,0.54,-1.522,0.497,0.01,0.006,3061.0,4453.0,1.0
"z_state[SE, 2017-12-10 00:00:00]",-0.534,0.535,-1.541,0.469,0.01,0.006,3123.0,4394.0,1.0
"z_state[SE, 2017-12-17 00:00:00]",-0.546,0.53,-1.545,0.418,0.01,0.006,3068.0,4422.0,1.0
"z_state[SE, 2017-12-24 00:00:00]",-0.665,0.529,-1.617,0.349,0.01,0.006,3070.0,4394.0,1.0
"z_state[SE, 2017-12-31 00:00:00]",-0.76,0.537,-1.831,0.168,0.01,0.006,3154.0,4586.0,1.0
"z_state[SE, 2018-01-07 00:00:00]",-0.896,0.547,-1.95,0.088,0.01,0.006,3155.0,3808.0,1.0
"z_state[SE, 2018-01-14 00:00:00]",-0.971,0.548,-1.997,0.039,0.01,0.006,3163.0,4531.0,1.0
"z_state[SE, 2018-01-21 00:00:00]",-0.999,0.548,-2.036,-0.002,0.01,0.006,3304.0,4342.0,1.0
"z_state[SE, 2018-01-28 00:00:00]",-1.028,0.545,-2.04,0.007,0.01,0.006,3293.0,4337.0,1.0
"z_state[SE, 2018-02-04 00:00:00]",-1.157,0.546,-2.174,-0.137,0.01,0.006,3163.0,4254.0,1.0
"z_state[SE, 2018-02-11 00:00:00]",-1.259,0.546,-2.208,-0.133,0.01,0.006,3250.0,4137.0,1.0
"z_state[SE, 2018-02-18 00:00:00]",-1.31,0.544,-2.384,-0.294,0.01,0.006,3188.0,3550.0,1.0
"z_state[SE, 2018-02-25 00:00:00]",-1.408,0.553,-2.44,-0.366,0.01,0.006,3165.0,4649.0,1.0
"z_state[SE, 2018-03-04 00:00:00]",-1.458,0.558,-2.459,-0.375,0.01,0.006,3178.0,4384.0,1.0
"z_state[SE, 2018-03-11 00:00:00]",-1.455,0.55,-2.511,-0.448,0.01,0.006,3286.0,4717.0,1.0
"z_state[SE, 2018-03-18 00:00:00]",-1.467,0.541,-2.507,-0.48,0.009,0.006,3263.0,4577.0,1.0
"z_state[SE, 2018-03-25 00:00:00]",-1.455,0.541,-2.469,-0.437,0.01,0.006,3176.0,4471.0,1.0
"z_state[SE, 2018-04-01 00:00:00]",-1.42,0.545,-2.432,-0.374,0.01,0.006,3117.0,4314.0,1.0
"z_state[SE, 2018-04-08 00:00:00]",-1.395,0.54,-2.366,-0.337,0.01,0.006,3108.0,4317.0,1.0
"z_state[SE, 2018-04-15 00:00:00]",-1.311,0.532,-2.32,-0.317,0.01,0.006,2909.0,4431.0,1.0
"z_state[SE, 2018-04-22 00:00:00]",-1.228,0.529,-2.251,-0.26,0.01,0.006,2952.0,4614.0,1.0
"z_state[SE, 2018-04-29 00:00:00]",-1.111,0.522,-2.116,-0.186,0.01,0.006,2870.0,4182.0,1.0
"z_state[SE, 2018-05-06 00:00:00]",-1.038,0.516,-2.071,-0.137,0.01,0.006,2911.0,4150.0,1.0
"z_state[SE, 2018-05-13 00:00:00]",-1.03,0.521,-1.952,-0.016,0.009,0.006,3023.0,4152.0,1.0
"z_state[SE, 2018-05-20 00:00:00]",-0.983,0.517,-1.903,0.056,0.009,0.006,2998.0,4005.0,1.0
"z_state[SE, 2018-05-27 00:00:00]",-1.101,0.525,-2.058,-0.099,0.009,0.006,3121.0,3709.0,1.0
"z_state[SE, 2018-06-03 00:00:00]",-1.207,0.536,-2.188,-0.178,0.01,0.006,3075.0,4055.0,1.0
"z_state[SE, 2018-06-10 00:00:00]",-1.287,0.55,-2.362,-0.294,0.01,0.006,3199.0,3943.0,1.0
"z_state[SE, 2018-06-17 00:00:00]",-1.348,0.55,-2.41,-0.343,0.01,0.006,3161.0,4592.0,1.0
"z_state[SE, 2018-06-24 00:00:00]",-1.362,0.556,-2.375,-0.316,0.01,0.006,3390.0,4464.0,1.0
"z_state[SE, 2018-07-01 00:00:00]",-1.365,0.564,-2.333,-0.244,0.01,0.006,3089.0,4005.0,1.0
"z_state[SE, 2018-07-08 00:00:00]",-1.327,0.567,-2.355,-0.244,0.01,0.006,3228.0,3666.0,1.0
"z_state[SE, 2018-07-15 00:00:00]",-1.247,0.562,-2.295,-0.173,0.01,0.006,3116.0,3639.0,1.0
"z_state[SE, 2018-07-22 00:00:00]",-1.165,0.554,-2.241,-0.176,0.01,0.006,3024.0,3452.0,1.0
"z_state[SE, 2018-07-29 00:00:00]",-1.106,0.562,-2.157,-0.052,0.01,0.006,3004.0,3579.0,1.0
"z_state[SE, 2018-08-05 00:00:00]",-1.059,0.558,-2.136,-0.056,0.01,0.006,3063.0,3631.0,1.0
"z_state[SE, 2018-08-12 00:00:00]",-1.01,0.556,-2.051,0.01,0.01,0.006,3093.0,4055.0,1.0
"z_state[SE, 2018-08-19 00:00:00]",-0.981,0.551,-1.989,0.066,0.01,0.006,3179.0,4473.0,1.0
"z_state[SE, 2018-08-26 00:00:00]",-0.941,0.553,-1.929,0.117,0.01,0.006,3075.0,4479.0,1.0
"z_state[SE, 2018-09-02 00:00:00]",-0.919,0.556,-1.936,0.149,0.01,0.006,3049.0,4580.0,1.0
"z_state[SE, 2018-09-09 00:00:00]",-0.856,0.547,-1.852,0.19,0.01,0.006,2939.0,4185.0,1.0
"z_state[SE, 2018-09-16 00:00:00]",-0.828,0.549,-1.883,0.175,0.01,0.006,2984.0,4287.0,1.0
"z_state[SE, 2018-09-23 00:00:00]",-0.836,0.546,-1.82,0.217,0.01,0.006,2954.0,4166.0,1.0
