parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_raw[São Paulo],1.805,0.251,1.343,2.282,0.009,0.005,843.0,1503.0,1.0
alpha_raw[Teixeira de Freitas],2.793,0.207,2.414,3.191,0.009,0.005,559.0,1105.0,1.01
alpha_raw[Teresina],1.305,0.388,0.62,2.062,0.007,0.005,3164.0,3841.0,1.0
alpha_raw[Teófilo Otoni],-0.341,0.242,-0.762,0.136,0.01,0.005,638.0,1113.0,1.0
alpha_raw[Três Lagoas],-0.191,0.314,-0.769,0.403,0.007,0.004,1792.0,3103.0,1.0
alpha_raw[Uberaba],-1.008,0.248,-1.47,-0.558,0.01,0.005,661.0,1427.0,1.0
alpha_raw[Uberlândia],-0.92,0.246,-1.369,-0.463,0.01,0.005,668.0,1268.0,1.0
alpha_raw[Ubá],-0.757,0.245,-1.199,-0.296,0.009,0.005,671.0,1435.0,1.0
alpha_raw[Uibaí],0.018,0.192,-0.325,0.394,0.009,0.004,456.0,1095.0,1.01
alpha_raw[Valente],1.085,0.172,0.754,1.393,0.008,0.004,471.0,987.0,1.01
alpha_raw[Vilhena],-0.42,0.343,-1.028,0.263,0.007,0.004,2130.0,3228.0,1.0
alpha_raw[Vitória],-0.879,0.565,-1.923,0.191,0.007,0.007,6666.0,4528.0,1.0
alpha_raw[Vitória da Conquista],0.512,0.178,0.171,0.84,0.008,0.004,456.0,894.0,1.01
alpha_raw[Volta Redonda],-1.612,0.226,-2.051,-1.211,0.01,0.005,547.0,1197.0,1.01
beta[rainfall],-0.05,0.017,-0.081,-0.018,0.0,0.0,6205.0,4547.0,1.0
beta[month_cos],-0.155,0.026,-0.205,-0.108,0.0,0.0,5041.0,4495.0,1.0
beta[month_sin],0.307,0.026,0.256,0.355,0.0,0.0,5463.0,4846.0,1.0
beta[humidity],0.154,0.025,0.107,0.202,0.0,0.0,4823.0,4120.0,1.0
beta[temperature],0.027,0.026,-0.019,0.076,0.0,0.0,5406.0,4311.0,1.0
u_init_s[AL],-0.077,0.971,-1.882,1.79,0.01,0.013,9752.0,4545.0,1.0
u_init_s[AM],0.094,0.964,-1.668,1.928,0.01,0.013,9572.0,4327.0,1.0
u_init_s[BA],4.057,0.86,2.301,5.556,0.026,0.011,1098.0,2104.0,1.0
u_init_s[CE],-1.848,0.945,-3.572,-0.009,0.014,0.012,4319.0,3934.0,1.0
u_init_s[DF],0.349,1.014,-1.649,2.175,0.011,0.015,8722.0,4357.0,1.0
u_init_s[ES],-0.272,0.953,-2.045,1.517,0.01,0.012,9992.0,5174.0,1.0
u_init_s[GO],0.176,0.996,-1.664,2.085,0.01,0.013,9900.0,4690.0,1.0
u_init_s[MA],-0.17,0.967,-1.909,1.726,0.011,0.013,8446.0,5105.0,1.0
u_init_s[MG],-1.097,0.93,-2.894,0.589,0.015,0.012,3820.0,3842.0,1.0
u_init_s[MS],0.196,0.938,-1.528,2.033,0.013,0.012,5340.0,4226.0,1.0
u_init_s[MT],-0.189,0.953,-1.966,1.637,0.01,0.014,9014.0,4670.0,1.0
u_init_s[PA],-0.203,0.95,-1.993,1.541,0.013,0.012,5457.0,4674.0,1.0
u_init_s[PB],-0.8,0.976,-2.59,1.035,0.01,0.013,9606.0,4752.0,1.0
u_init_s[PE],-1.044,0.89,-2.705,0.605,0.016,0.011,2979.0,3795.0,1.0
u_init_s[PI],0.101,0.981,-1.736,1.947,0.01,0.013,9215.0,4544.0,1.0
u_init_s[PR],-0.325,0.969,-2.254,1.432,0.01,0.013,9792.0,4354.0,1.0
u_init_s[RJ],-1.72,0.933,-3.468,0.027,0.013,0.014,4965.0,3965.0,1.0
u_init_s[RN],0.566,0.96,-1.228,2.378,0.014,0.012,4862.0,4743.0,1.0
u_init_s[RO],-0.359,0.955,-2.178,1.395,0.011,0.012,6962.0,4272.0,1.0
u_init_s[RR],0.405,0.982,-1.301,2.322,0.01,0.012,9403.0,4899.0,1.0
u_init_s[SC],-0.36,0.981,-2.208,1.502,0.01,0.015,9604.0,3991.0,1.0
u_init_s[SE],0.12,0.938,-1.74,1.756,0.014,0.012,4488.0,4508.0,1.0
u_init_s[SP],0.356,0.924,-1.345,2.124,0.016,0.012,3144.0,3664.0,1.0
u_init_s[TO],-0.055,0.953,-1.855,1.747,0.011,0.013,7068.0,4610.0,1.0
"z_innov_s[AL, 2015-01-11 00:00:00]",0.008,0.971,-1.778,1.845,0.01,0.013,10081.0,4899.0,1.0
"z_innov_s[AL, 2015-01-18 00:00:00]",-0.064,0.977,-1.854,1.84,0.009,0.015,11469.0,3748.0,1.0
"z_innov_s[AL, 2015-01-25 00:00:00]",0.006,0.961,-1.753,1.867,0.01,0.013,10148.0,4601.0,1.0
"z_innov_s[AL, 2015-02-01 00:00:00]",-0.08,0.986,-2.03,1.689,0.009,0.014,10853.0,4480.0,1.0
"z_innov_s[AL, 2015-02-08 00:00:00]",-0.016,0.988,-1.855,1.848,0.009,0.014,11429.0,4571.0,1.0
"z_innov_s[AL, 2015-02-15 00:00:00]",0.082,0.99,-1.703,2.005,0.009,0.016,12360.0,4024.0,1.0
"z_innov_s[AL, 2015-02-22 00:00:00]",0.168,0.973,-1.668,1.972,0.009,0.015,11727.0,4168.0,1.0
"z_innov_s[AL, 2015-03-01 00:00:00]",0.114,0.954,-1.63,1.99,0.009,0.015,12249.0,3965.0,1.0
"z_innov_s[AL, 2015-03-08 00:00:00]",0.218,0.96,-1.652,1.975,0.009,0.013,11233.0,4566.0,1.0
"z_innov_s[AL, 2015-03-15 00:00:00]",0.307,0.987,-1.575,2.157,0.009,0.015,12276.0,3963.0,1.0
"z_innov_s[AL, 2015-03-22 00:00:00]",0.411,1.001,-1.544,2.266,0.01,0.015,10621.0,4261.0,1.0
"z_innov_s[AL, 2015-03-29 00:00:00]",0.414,0.959,-1.39,2.211,0.009,0.014,11644.0,4630.0,1.0
"z_innov_s[AL, 2015-04-05 00:00:00]",0.339,0.958,-1.41,2.168,0.009,0.014,11305.0,4318.0,1.0
"z_innov_s[AL, 2015-04-12 00:00:00]",0.343,0.955,-1.447,2.102,0.009,0.013,12384.0,4403.0,1.0
"z_innov_s[AL, 2015-04-19 00:00:00]",0.476,0.965,-1.234,2.437,0.009,0.015,11118.0,3868.0,1.0
"z_innov_s[AL, 2015-04-26 00:00:00]",0.51,0.966,-1.481,2.208,0.009,0.013,11341.0,4591.0,1.0
"z_innov_s[AL, 2015-05-03 00:00:00]",0.416,0.944,-1.381,2.156,0.009,0.014,10955.0,4559.0,1.0
"z_innov_s[AL, 2015-05-10 00:00:00]",0.342,0.977,-1.481,2.159,0.009,0.014,12013.0,4060.0,1.0
