parameter,r_hat,ess_bulk
z_innov_s|AL|2015-03-08 00:00:00,1.0093398400943894,138.4874233203735
z_innov_s|AL|2015-03-15 00:00:00,1.0090726130950076,136.77821296739467
z_innov_s|AL|2015-03-22 00:00:00,1.0093489563002236,294.02909968839157
z_innov_s|AL|2015-03-29 00:00:00,1.0170868025612987,166.9525215995709
z_innov_s|AL|2015-04-05 00:00:00,1.00800818269319,95.06627778501243
z_innov_s|AL|2015-04-12 00:00:00,1.0189772322240978,163.15714575396748
z_innov_s|AL|2015-04-19 00:00:00,1.0069884238471476,163.9869449720634
z_innov_s|AL|2015-04-26 00:00:00,1.0027668361070903,147.72912162682408
z_innov_s|AL|2015-05-03 00:00:00,1.0104119101077265,167.43386877960523
z_innov_s|AL|2015-05-10 00:00:00,1.0281723628520172,190.64056627334483
z_innov_s|AL|2015-05-17 00:00:00,1.009975797930734,151.52645010269907
z_innov_s|AL|2015-05-24 00:00:00,1.0458300115742205,95.77722827484078
z_innov_s|AL|2015-05-31 00:00:00,1.0329282930549213,175.72331179142265
z_innov_s|AL|2015-06-07 00:00:00,1.0297885909777664,135.87151693206383
z_innov_s|AL|2015-06-14 00:00:00,1.0259180817332716,103.13208580695938
z_innov_s|AL|2015-06-21 00:00:00,1.0162877375304322,199.0389776355201
z_innov_s|AL|2015-06-28 00:00:00,1.0170268266343532,79.33516108944637
z_innov_s|AL|2015-07-05 00:00:00,1.0134816191054195,120.0266857579237
z_innov_s|AL|2015-07-12 00:00:00,1.0092208328402088,145.26159753652055
z_innov_s|AL|2015-07-19 00:00:00,1.0483821050006896,58.16742606812022
z_innov_s|AL|2015-07-26 00:00:00,1.015172306239022,113.31819090198987
z_innov_s|AL|2015-08-02 00:00:00,1.007649092229755,109.21955675029507
z_innov_s|AL|2015-08-09 00:00:00,1.0098865070191692,199.8835722840013
z_innov_s|AL|2015-08-16 00:00:00,1.016388417852828,230.03330170093886
z_innov_s|AL|2015-08-23 00:00:00,1.008083070294396,180.85939709940206
z_innov_s|AL|2015-08-30 00:00:00,1.0761942032099767,41.589131770022206
z_innov_s|AL|2015-09-06 00:00:00,1.0009848212876715,169.79829234711875
z_innov_s|AL|2015-09-13 00:00:00,1.0189429869919657,84.60986221187002
z_innov_s|AL|2015-09-20 00:00:00,1.0155265426051154,136.1710757209502
z_innov_s|AL|2015-09-27 00:00:00,1.0201483298619138,148.3052902128276
z_innov_s|AL|2015-10-04 00:00:00,1.0363195728067036,115.0222255530642
z_innov_s|AL|2015-10-11 00:00:00,1.0169499783889169,205.32890550706418
z_innov_s|AL|2015-10-18 00:00:00,1.0497303059251097,87.10008740041813
z_innov_s|AL|2015-10-25 00:00:00,1.010931478061829,149.46900956878991
z_innov_s|AL|2015-11-01 00:00:00,1.0077150714490395,180.7873180845414
z_innov_s|AL|2015-11-08 00:00:00,1.0191232202240064,170.43928453498947
z_innov_s|AL|2015-11-15 00:00:00,1.0230750213346522,106.59221888146494
z_innov_s|AL|2015-11-22 00:00:00,1.013523320286555,246.2000937463842
z_innov_s|AL|2015-11-29 00:00:00,1.0128857378143301,223.70821087833804
z_innov_s|AL|2015-12-06 00:00:00,1.0209015875111627,127.17306754442575
z_innov_s|AL|2015-12-13 00:00:00,1.0216174752448315,142.30184882809507
z_innov_s|AL|2015-12-20 00:00:00,1.0259483651605497,136.9002652482328
