parameter,r_hat,ess_bulk
alpha_district|Volta Redonda,1.0128781846166381,704.056160233025
alpha_nb,1.0010241548811847,10908.054429698379
alpha_raw|Aimorés,1.0017829777874454,965.804723294103
alpha_raw|Alagoa Grande,1.0005459411067688,2315.4800542656876
alpha_raw|Alagoinhas,1.008126618431083,359.30387798975437
alpha_raw|Amambai,1.000399753494115,2377.962003082174
alpha_raw|Ananindeua,1.0007056086475883,2026.2066563258556
alpha_raw|Aracaju,1.0027448376367203,2098.8748122401335
alpha_raw|Aracati,1.0096647368136957,470.4659133516517
alpha_raw|Araguaína,1.0013632610781205,3484.0260332682387
alpha_raw|Araripina,1.0028486003213624,742.0656271148528
alpha_raw|Açu,1.0014832180268411,1650.9756938728394
alpha_raw|Balneário Camboriú,1.000909088094457,4928.4515783316765
alpha_raw|Balsas,1.001002409744514,3609.500782928301
alpha_raw|Barbalha,1.0077468251077797,498.0676612233308
alpha_raw|Barreiras,1.006466442456529,407.28907723159244
alpha_raw|Belford Roxo,1.0096919854874125,637.0462113980756
alpha_raw|Belo Horizonte,1.0007756978824451,1017.2080437253247
alpha_raw|Boa Vista,1.0013300806988938,4234.9821526342885
alpha_raw|Brasília,1.0003179446355994,5093.257532137611
alpha_raw|Brejo Santo,1.0080760150578996,522.778145214334
alpha_raw|Cabo Frio,1.012290039921826,559.0919738824099
alpha_raw|Cabo de Santo Agostinho,1.0048376832320884,706.962514875047
alpha_raw|Caicó,1.0012726415418838,1654.1816268836508
alpha_raw|Camaragibe,1.0030051859544276,715.9853434520656
alpha_raw|Camaçari,1.0049984557358038,454.76735130315274
alpha_raw|Campina Grande,1.0017332947121442,2658.467290957156
alpha_raw|Campinas,1.0012163329914783,1216.9003635862816
alpha_raw|Campo Grande,1.0004367071253768,2221.6504337104707
alpha_raw|Campo Novo do Parecis,1.0019013593723596,4737.386860391833
alpha_raw|Campos Sales,1.0095908240933669,474.15985666161527
alpha_raw|Campos dos Goytacazes,1.0144822175689692,532.3161756981144
alpha_raw|Caruaru,1.0046198323957267,701.4806704829023
alpha_raw|Cascavel,1.0002205825454182,4494.601338773608
alpha_raw|Castanhal,1.000654973488024,1989.1983823613257
alpha_raw|Caucaia,1.0076349690281106,528.379576943911
alpha_raw|Cerejeiras,1.0015169352030346,3262.4577483537214
alpha_raw|Conceição do Coité,1.007827019439262,372.27347511017297
alpha_raw|Conselheiro Pena,1.0023575305798431,939.2393292472068
alpha_raw|Coronel Fabriciano,1.0010112758177143,1025.2440657244476
alpha_raw|Corumbá,1.0003413223712283,2471.223096907131
alpha_raw|Cuiabá,1.001937399213143,4855.694297462009
alpha_raw|Estância,1.0024696053403481,2048.3104175367635
alpha_raw|Feira de Santana,1.0042340650315495,500.4433202169147
alpha_raw|Florianópolis,1.0009177801981504,5136.886213778423
alpha_raw|Fortaleza,1.0048864585135184,636.3943971672967
alpha_raw|Foz do Iguaçu,1.0002300043957875,4613.27403590034
alpha_raw|Garanhuns,1.0028821722083758,738.0743915627663
alpha_raw|Goiânia,1.0003678226541282,6346.178693429963
alpha_raw|Governador Valadares,1.0006992482758756,1031.606853001954
alpha_raw|Gravatá,1.0037646741057071,709.9204114618894
alpha_raw|Guanambi,1.0067089053304281,420.2015027776206
alpha_raw|Guarujá,1.0014709045926058,1183.1029889101687
alpha_raw|Icapuí,1.0093454500331127,462.33442946054646
alpha_raw|Icó,1.0092194162527324,471.80208948890277
alpha_raw|Igarassu,1.0028513419500296,748.9161256809048
